VISDATA
8
0 7  2 3 1 4 5 6 7 
1 6  0 2 3 4 5 6 
2 7  3 0 1 4 5 6 7 
3 7  2 4 0 1 5 6 7 
4 7  3 5 2 6 0 1 7 
5 7  4 6 3 7 2 1 0 
6 7  5 4 7 3 1 2 0 
7 6  5 6 4 3 0 2 
